GABARg2,aDG
0.032376867,0.016188433
0.036166856,0.006781285
0.021932804,0.008559143
0.017877437,0.005618623
0.017924097,0.014150603
0.020022434,0.009575947
0.030093786,0.005824604
0.017368824,0.002004095
0.020346504,0.0072883
0.005083823,0.002392387
0.007578174,0.00396952
0.015357063,0.004095217
0.040805544,0.027919583
0.056452675,0.006720557
0.003934928,0.001210747
0.004699069,0.007689386
0.035526787,0.016875224
0.005718741,0.001429685
0.022898088,0.014091131
0.022741798,0.0054894
0.026545555,0.016088215
0.068592309,0.041571096
0.015492031,0.00570759
0.011189976,0.004865207
0.006012284,0.004409008
0.013563414,0.025996544
0.018703787,0.035403598
0.046136811,0.020702415
0.053572214,0.040179161
0.043865252,0.027371917
0.051480879,0.028199717
0.03812976,0.031672301
0.027128363,0.044262066
0.019769721,0.016175226
0.0220802,0.016900894
0.005809167,0.008022183
0.045409818,0.018676619
0.029660333,0.024352694
0.031701308,0.02577583
0.037375583,0.019592039
0.038187154,0.019223466
0.088876466,0.050205026
0.023683605,0.011205147
0.030067124,0.015280014
0.03567965,0.021729712
0.036617822,0.014543249
0.016012166,0.005193135
0.015704913,0.007266452
0.036329138,0.030350926
0.053785024,0.022733876
0.005179306,0.005179306
0.024164542,0.008564648
0.011457584,0.009694879
0.031775819,0.00723352
0.021810401,0.006887495
